Feature,Coefficient,Abs_Coefficient
OverTime,0.7131144259565513,0.7131144259565513
Department,0.4905799772328038,0.4905799772328038
YearsWithCurrManager,-0.4843761072044244,0.4843761072044244
TotalWorkingYears,-0.47739868731114804,0.47739868731114804
YearsSinceLastPromotion,0.4656914994668327,0.4656914994668327
NumCompaniesWorked,0.4319939158384834,0.4319939158384834
MonthlyIncome,-0.43091873034818545,0.43091873034818545
EnvironmentSatisfaction,-0.41551055744708537,0.41551055744708537
JobSatisfaction,-0.3754489295823982,0.3754489295823982
YearsAtCompany,0.32083722863146125,0.32083722863146125
JobInvolvement,-0.3084887919335529,0.3084887919335529
MaritalStatus,0.3010201823846933,0.3010201823846933
Age,-0.2987025818293237,0.2987025818293237
DistanceFromHome,0.2909060634115402,0.2909060634115402
JobRole,-0.28195025199709733,0.28195025199709733
YearsInCurrentRole,-0.279931990998046,0.279931990998046
PercentSalaryHike,-0.2499195240175886,0.2499195240175886
RelationshipSatisfaction,-0.2304758768475907,0.2304758768475907
DailyRate,-0.2254982495874567,0.2254982495874567
StockOptionLevel,-0.19188534807532642,0.19188534807532642
WorkLifeBalance,-0.18773225331916124,0.18773225331916124
PerformanceRating,0.1496047927854171,0.1496047927854171
TrainingTimesLastYear,-0.14693835844119468,0.14693835844119468
Gender,0.14206864001365674,0.14206864001365674
JobLevel,0.08768058079348914,0.08768058079348914
HourlyRate,-0.058036714260636155,0.058036714260636155
BusinessTravel,0.034095883191291726,0.034095883191291726
EducationField,-0.01752180813317652,0.01752180813317652
Education,0.0100362498524135,0.0100362498524135
MonthlyRate,0.004809245949582885,0.004809245949582885
